"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","deveSubtrairDoisNumeros()","","Mon Sep 01 08:16:44 BRT 2025","passed","Mon Sep 01 08:16:44 BRT 2025","","com.exemplo.calculadora.CalculadoraTest","com.exemplo.calculadora.CalculadoraTest","deveSubtrairDoisNumeros"
"","0","deveMultiplicarDoisNumeros()","","Mon Sep 01 08:16:45 BRT 2025","passed","Mon Sep 01 08:16:45 BRT 2025","","com.exemplo.calculadora.CalculadoraTest","com.exemplo.calculadora.CalculadoraTest","deveMultiplicarDoisNumeros"
"","2","deveSomarDoisNumeros()","","Mon Sep 01 08:16:45 BRT 2025","passed","Mon Sep 01 08:16:45 BRT 2025","","com.exemplo.calculadora.CalculadoraTest","com.exemplo.calculadora.CalculadoraTest","deveSomarDoisNumeros"
"","2","deveLancarExcecaoAoDividirPorZero()","","Mon Sep 01 08:16:45 BRT 2025","passed","Mon Sep 01 08:16:45 BRT 2025","","com.exemplo.calculadora.CalculadoraTest","com.exemplo.calculadora.CalculadoraTest","deveLancarExcecaoAoDividirPorZero"
"","2","deveDividirDoisNumeros()","","Mon Sep 01 08:16:45 BRT 2025","passed","Mon Sep 01 08:16:45 BRT 2025","","com.exemplo.calculadora.CalculadoraTest","com.exemplo.calculadora.CalculadoraTest","deveDividirDoisNumeros"
